community_district,council_district,Year of Completion,ZoningDst1,FloorsProp,ClassANet_sum,AllCountedUnits_sum
103.0,1.0,1970,C6-1,5.0,-4.0,0.0
103.0,1.0,1970,C6-1,6.0,17.0,0.0
103.0,1.0,1970,C6-1,7.0,25.0,0.0
103.0,1.0,1970,C6-1,10.0,8.0,0.0
103.0,1.0,1970,C6-1,11.0,0.0,0.0
103.0,1.0,1970,C6-1,12.0,0.0,0.0
103.0,1.0,1970,C6-1,13.0,0.0,0.0
103.0,1.0,1970,C6-1,14.0,0.0,0.0
103.0,1.0,1970,C6-1,16.0,78.0,0.0
103.0,1.0,1970,C6-1,17.0,51.0,0.0
103.0,1.0,1970,C6-1,19.0,0.0,0.0
103.0,1.0,1970,C6-1,20.0,0.0,0.0
103.0,1.0,1970,C6-1,24.0,0.0,0.0
103.0,1.0,1970,C6-1,26.0,195.0,0.0
103.0,1.0,1970,C6-1,28.0,11.0,0.0
103.0,1.0,1970,C6-1G,4.0,3.0,0.0
103.0,1.0,1970,C6-1G,5.0,4.0,0.0
103.0,1.0,1970,C6-1G,6.0,-11.0,0.0
103.0,1.0,1970,C6-1G,7.0,-2.0,0.0
103.0,1.0,1970,C6-1G,11.0,0.0,0.0
103.0,1.0,1970,C6-1G,12.0,83.0,0.0
103.0,1.0,1970,C6-1G,13.0,0.0,0.0
103.0,1.0,1970,C6-1G,14.0,18.0,0.0
103.0,1.0,1970,C6-1G,16.0,0.0,0.0
103.0,1.0,1970,C6-1G,18.0,0.0,0.0
103.0,1.0,1970,C6-1G,20.0,0.0,0.0
103.0,1.0,1970,C6-2,3.0,1.0,0.0
103.0,1.0,1970,C6-2,4.0,2.0,0.0
103.0,1.0,1970,C6-2,5.0,2.0,0.0
103.0,1.0,1970,C6-2,6.0,3.0,0.0
103.0,1.0,1970,C6-2,7.0,17.0,0.0
103.0,1.0,1970,C6-2,8.0,12.0,0.0
103.0,1.0,1970,C6-2,10.0,1.0,0.0
103.0,1.0,1970,C6-2,11.0,46.0,0.0
103.0,1.0,1970,C6-2,12.0,0.0,0.0
103.0,1.0,1970,C6-2,13.0,23.0,0.0
103.0,1.0,1970,C6-2A,4.0,6.0,0.0
103.0,1.0,1970,C6-2A,5.0,-12.0,0.0
103.0,1.0,1970,C6-2A,6.0,0.0,0.0
103.0,1.0,1970,C6-2A,8.0,0.0,0.0
103.0,1.0,1970,C6-2A,10.0,4.0,0.0
103.0,1.0,1970,C6-2A,12.0,67.0,0.0
103.0,1.0,1970,C6-2G,5.0,6.0,0.0
103.0,1.0,1970,C6-2G,13.0,-51.0,0.0
103.0,1.0,1970,C6-3A,4.0,0.0,0.0
103.0,1.0,1970,C6-3A,6.0,8.0,0.0
103.0,1.0,1970,C6-3A,10.0,13.0,0.0
103.0,1.0,1970,C6-3A,14.0,14.0,0.0
103.0,1.0,1970,C6-4,13.0,205.0,0.0
103.0,1.0,1970,C6-4,19.0,0.0,0.0
103.0,1.0,1970,C6-4,72.0,815.0,0.0
103.0,1.0,1970,C6-6,5.0,0.0,0.0
103.0,1.0,1970,C8-1,5.0,0.0,0.0
103.0,1.0,1970,C8-4,7.0,0.0,0.0
103.0,1.0,1970,R7-1,5.0,-6.0,0.0
103.0,1.0,1970,R7-1,14.0,55.0,0.0
103.0,1.0,1970,R7-2,2.0,2.0,0.0
103.0,1.0,1970,R7-2,3.0,2.0,0.0
103.0,1.0,1970,R7-2,4.0,1.0,0.0
103.0,1.0,1970,R7-2,5.0,1.0,0.0
103.0,1.0,1970,R7-2,6.0,19.0,0.0
103.0,1.0,1970,R7-2,10.0,0.0,0.0
103.0,1.0,1970,R7-2,11.0,0.0,0.0
103.0,1.0,1970,R7-2,13.0,28.0,0.0
103.0,1.0,1970,R7A,4.0,6.0,0.0
103.0,1.0,1970,R7A,5.0,0.0,0.0
103.0,1.0,1970,R7A,6.0,7.0,0.0
103.0,1.0,1970,R7A,7.0,136.0,0.0
103.0,1.0,1970,R7A,8.0,44.0,0.0
103.0,1.0,1970,R8,9.0,12.0,0.0
103.0,1.0,1970,R8,14.0,100.0,0.0
103.0,1.0,1970,R8,15.0,526.0,0.0
103.0,1.0,1970,R8,25.0,263.0,0.0
103.0,1.0,1970,R8,30.0,52.0,0.0
103.0,1.0,1970,R9-1,17.0,117.0,0.0
103.0,1.0,1970,R9-1,32.0,378.0,0.0
103.0,2.0,1970,C1-5,6.0,0.0,0.0
103.0,2.0,1970,C1-5,7.0,7.0,0.0
103.0,2.0,1970,C1-6A,4.0,3.0,0.0
103.0,2.0,1970,C1-6A,5.0,2.0,0.0
