"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1400000US36109001901","Census Tract 19.01, Tompkins County, New York","3105","2852","2651","68","13","74","3","43","253","230","30","61","22","7","100","4","0","0","2","0","0","1","0","3","0","19","9","0","0","2","0","2","2","0","1","0","0","3","0","0","0","0","0","0","0","0","4","0","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109001902","Census Tract 19.02, Tompkins County, New York","3163","2886","2675","85","19","43","0","64","277","263","44","30","49","0","132","0","2","0","1","0","0","5","0","0","0","14","2","5","0","1","1","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109002000","Census Tract 20, Tompkins County, New York","4291","3936","3579","227","21","58","0","51","355","338","63","97","41","2","127","5","2","0","1","0","0","0","0","0","0","15","8","0","3","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109002100","Census Tract 21, Tompkins County, New York","4203","3915","3691","100","6","33","1","84","288","274","35","108","19","0","105","0","2","1","3","0","0","0","1","0","0","13","10","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109002200","Census Tract 22, Tompkins County, New York","4431","4062","3910","46","13","28","0","65","369","346","58","89","27","0","163","2","4","0","2","0","0","0","0","1","0","22","9","2","0","1","4","0","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",
"1400000US36109002300","Census Tract 23, Tompkins County, New York","5505","5107","4790","98","19","71","3","126","398","383","75","124","36","4","127","3","2","0","10","0","0","1","0","1","0","12","5","3","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111950100","Census Tract 9501, Ulster County, New York","5010","4644","4420","75","10","52","0","87","366","348","42","58","19","0","224","0","2","0","3","0","0","0","0","0","0","17","2","2","0","4","3","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US36111950200","Census Tract 9502, Ulster County, New York","3895","3552","3227","108","19","54","1","143","343","313","54","48","22","0","169","1","1","2","1","8","0","4","1","1","1","25","6","0","4","7","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","2","2","0","0","0","0","0","0","0",
"1400000US36111950300","Census Tract 9503, Ulster County, New York","4518","4138","3779","138","15","99","1","106","380","366","53","73","24","3","187","1","0","0","14","0","0","11","0","0","0","12","6","1","0","0","0","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US36111950400","Census Tract 9504, Ulster County, New York","4025","3717","3540","46","0","58","0","73","308","292","46","65","28","0","141","0","0","1","11","0","0","0","0","0","0","14","1","1","0","6","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111950500","Census Tract 9505, Ulster County, New York","3271","3002","2758","78","15","86","3","62","269","247","41","40","29","0","134","1","1","0","0","0","0","1","0","0","0","14","1","3","0","4","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","8","0","0","4","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111950600","Census Tract 9506, Ulster County, New York","3016","2822","2642","39","12","74","0","55","194","184","23","25","41","0","81","3","0","0","6","0","0","2","0","2","1","9","4","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US36111950900","Census Tract 9509, Ulster County, New York","1297","1174","1107","25","7","19","0","16","123","111","15","17","4","0","68","0","0","0","5","0","0","0","2","0","0","11","6","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111951000","Census Tract 9510, Ulster County, New York","4226","3923","3704","50","17","63","1","88","303","286","29","52","37","0","161","0","0","0","3","0","0","4","0","0","0","15","2","1","0","4","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111951100","Census Tract 9511, Ulster County, New York","2276","2125","2014","28","2","50","0","31","151","138","24","21","26","2","59","2","1","0","1","0","0","0","0","2","0","11","7","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US36111951200","Census Tract 9512, Ulster County, New York","3902","3652","3364","88","38","64","1","97","250","246","45","49","16","0","134","0","0","0","2","0","0","0","0","0","0","3","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111951300","Census Tract 9513, Ulster County, New York","4400","4011","3500","198","27","92","1","193","389","368","92","72","13","0","181","1","1","0","8","0","0","0","0","0","0","18","4","0","0","7","1","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111951400","Census Tract 9514, Ulster County, New York","3640","3388","2904","259","12","91","2","120","252","220","71","42","20","0","59","2","0","0","13","0","0","7","2","4","0","31","15","2","1","5","0","3","1","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US36111951500","Census Tract 9515, Ulster County, New York","3454","3150","2859","110","4","85","0","92","304","288","58","61","20","0","127","5","5","0","10","0","0","2","0","0","0","12","6","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111951600","Census Tract 9516, Ulster County, New York","2099","1923","1701","78","4","69","0","71","176","164","21","14","28","2","90","0","0","0","7","0","0","2","0","0","0","9","5","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US36111951700","Census Tract 9517, Ulster County, New York","4712","4090","3025","729","15","66","1","254","622","581","240","64","26","4","166","16","10","0","45","0","0","10","0","0","0","39","18","3","0","6","0","2","4","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US36111951800","Census Tract 9518, Ulster County, New York","1839","1611","1183","300","9","32","0","87","228","218","102","15","8","4","69","2","5","0","9","0","0","2","0","2","0","7","3","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111951900","Census Tract 9519, Ulster County, New York","2848","2464","1783","378","27","65","0","211","384","350","116","25","19","0","170","3","0","0","11","0","0","3","0","0","3","32","16","4","0","7","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952000","Census Tract 9520, Ulster County, New York","2815","2386","1261","399","61","146","0","519","429","402","63","21","13","1","253","9","1","0","32","1","0","8","0","0","0","23","7","1","0","1","0","0","10","2","1","0","0","0","1","0","0","0","0","0","0","0","4","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952100","Census Tract 9521, Ulster County, New York","3687","3170","1921","704","96","49","0","400","517","473","107","28","22","7","268","7","0","0","19","0","1","14","0","0","0","43","21","0","0","10","0","1","6","2","0","0","0","0","0","0","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952200","Census Tract 9522, Ulster County, New York","3761","3484","3012","249","27","105","2","89","277","263","68","27","21","1","134","1","0","0","7","2","0","2","0","0","0","10","2","1","0","2","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","4","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952300","Census Tract 9523, Ulster County, New York","1717","1562","1163","188","4","82","0","125","155","140","39","24","8","3","57","4","3","0","0","0","0","0","2","0","0","13","4","2","0","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US36111952400","Census Tract 9524, Ulster County, New York","2690","2451","2000","197","29","91","0","134","239","213","47","27","32","0","97","10","0","0","0","0","0","0","0","0","0","25","6","1","0","12","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952500","Census Tract 9525, Ulster County, New York","3527","3255","2878","207","3","59","0","108","272","257","74","32","20","3","115","3","0","0","5","0","0","1","0","4","0","13","3","0","2","5","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952600","Census Tract 9526, Ulster County, New York","6021","5600","5190","230","4","55","0","121","421","400","83","64","29","0","190","6","9","0","15","0","0","0","0","4","0","16","5","0","0","3","4","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952700","Census Tract 9527, Ulster County, New York","2699","2472","2314","60","4","32","4","58","227","209","27","54","15","3","106","0","0","0","4","0","0","0","0","0","0","18","5","2","0","1","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952800","Census Tract 9528, Ulster County, New York","3083","2860","2685","62","7","42","0","64","223","201","45","30","28","0","86","1","1","0","8","0","0","1","1","0","0","21","4","0","1","8","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952901","Census Tract 9529.01, Ulster County, New York","3063","2831","2652","52","3","65","0","59","232","214","36","32","22","0","104","3","2","0","12","1","0","0","0","0","2","17","11","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36111952902","Census Tract 9529.02, Ulster County, New York","2595","2432","2299","23","9","52","0","49","163","143","18","31","17","0","73","4","0","0","0","0","0","0","0","0","0","18","8","5","0","1","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
